Kategoria,Liczba_uczniow,Funds_sum
Sa,3,21172881.78
Sb,0,0
Sc,0,0
Sd,0,0
Se,0,0
Sf,200,21953.69
Sf1,200,0
Sf2,200,0
Sg,0,0
Sh,0,0
Si,0,0
Sj,0,0
Sk,0,0
Sl,0,0
Sm,0,0
Sn,0,0
So,0,0
Sp,0,0
Sr,0,0
P1,5,0
P2,5,0
P3,0,0
P4,0,0
P5,15,144071.07
P6,14,278537.41
P7,4,98791.59
P8,57,3714975.52
P9,22,120745.28
P10,0,0
P11,0,0
P12,0,0
P13,0,0
P14,0,0
P15,0,0
P16,0,0
P17,0,0
P18,0,0
P19,0,0
P20,0,0
P21,0,0
P22,0,0
P23,0,0
P24,0,0
P25,0,0
P26,0,0
P27,0,0
P27a,0,0
P28,0,0
P28a,0,0
P29,0,0
P29a,0,0
P30,0,0
P31,0,0
P32,0,0
P33,0,0
P34,0,0
P35,0,0
P36,0,0
P37,0,0
P38,0,0
P39,467,32038.66
P40,0,0
P41,0,0
P42,0,0
P43,0,0
P44,0,0
P45,0,0
P46,0,0
P47,0,0
P48,0,0
P49,0,0
P50,0,0
P51,1,531553.65
P52,29,298432.94
P53,1,2744.21
P54,3,530008.1
P55,0,0
P56,0,0
P57,1310000,100657.66
P58,2131704,65810.76
P59,8630000,88809.53
P60,1,142103.48
P61,6,1703125.9
P62,6,285260.72
P63,6,0
P64,0,0
P65,0,0
P66,0,0
P67,0,0
P68,0,0
P69,0,0
P70,0,0
P71,0,0
P72,0,0
P73,0,0
P74,63,4106025.58
P75,0,0
P76,36,207462.35
P77,0,0
P78,2,39791.06
P79,2,49395.8
P80,0,0
P81,0,0
P82,0,0
P83,0,0
P84,0,0
P85,173,226692.4
P86,315,315515.65
P87,602,326272.96
P88,257,79342
P89,0,0
P90,1200,14818.74
P91,3,21200.32
P92,34,0
P93,85,0
