paragraf,opis
200,"Dotacja celowa w ramach programów finansowanych z udziałem środków europejskich oraz środków, o których mowa w art. 5 ust. 1 pkt 3 oraz ust. 3 pkt 5 i 6 ustawy, lub płatności w ramach budżetu środków europejskich, z wyłączeniem wydatków klasyfikowanych w paragrafie 205 Paragraf ten stosuje się również do rozliczeń dotacji rozwojowej otrzymanej przed 31 grudnia 2009 r., w tym zwrotów środków tej dotacji, oraz do zwrotów środków, o których mowa powyżej."
201,"Dotacja celowa przekazana z budżetu państwa na realizację zadań bieżących z zakresu administracji rządowej oraz innych zadań zleconych gminom (związkom gmin, związkom powiatowo-gminnym) ustawami"
202,Dotacja celowa przekazana z budżetu państwa na zadania bieżące realizowane przez gminę na podstawie porozumień z organami administracji rządowej
203,"Dotacja celowa przekazana z budżetu państwa na realizację własnych zadań bieżących gmin (związków gmin, związków powiatowo-gminnych)"
204,Dotacja celowa przekazana z budżetu państwa na realizację zadań bieżących gmin z zakresu edukacyjnej opieki wychowawczej finansowanych w całości przez budżet państwa w ramach programów rządowych
205,"Dotacja celowa w ramach programów finansowanych z udziałem środków europejskich oraz środków, o których mowa w art. 5 ust. 3 pkt 5 lit. a i b ustawy, lub płatności w ramach budżetu środków europejskich, realizowanych przez jednostki samorządu terytorialnego Paragraf ten dotyczy środków dotacji i płatności przekazywanych na realizację projektów i programów z ww. środków dla jednostek samorządu terytorialnego występujących w charakterze beneficjenta w zakresie programów realizowanych w ramach Perspektywy Finansowej 2014-2020 oraz Perspektywy Finansowej 2021-2027."
206,"Dotacja celowa przekazana z budżetu państwa na zadania bieżące z zakresu administracji rządowej zlecone gminom (związkom gmin, związkom powiatowo-gminnym), związane z realizacją świadczenia wychowawczego stanowiącego pomoc państwa w wychowywaniu dzieci"
207,Dotacja celowa dla jednostki samorządu terytorialnego na realizację własnych zadań bieżących w zakresie pomocy obywatelom Ukrainy
208,Dotacja celowa dla jednostki samorządu terytorialnego na realizację zadań zleconych z zakresu administracji rządowej w zakresie pomocy obywatelom Ukrainy
209,Dotacja celowa dla pozostałych jednostek sektora finansów publicznych na finansowanie lub dofinansowanie zadań bieżących w zakresie pomocy obywatelom Ukrainy
210,Środki z Funduszu Pomocy na finansowanie lub dofinansowanie zadań bieżących w zakresie pomocy obywatelom Ukrainy dla jednostki sektora finansów publicznych
211,Dotacja celowa przekazana z budżetu państwa na zadania bieżące z zakresu administracji rządowej oraz inne zadania zlecone ustawami realizowane przez powiat
212,Dotacja celowa przekazana z budżetu państwa na zadania bieżące realizowane przez powiat na podstawie porozumień z organami administracji rządowej
213,Dotacja celowa przekazana z budżetu państwa na realizację bieżących zadań własnych powiatu
214,Płatności w ramach budżetu środków europejskich na finansowanie planu rozwojowego.
216,"Dotacja celowa przekazana z budżetu państwa na zadania bieżące z zakresu administracji rządowej zlecone powiatom, związane z realizacją dodatku wychowawczego, dodatku do zryczałtowanej kwoty oraz dodatku w wysokości świadczenia wychowawczego stanowiących pomoc państwa w wychowywaniu dzieci"
217,Środki przekazane z państwowych funduszy celowych na realizację zadań bieżących dla jednostek sektora finansów publicznych
218,Środki przekazane z państwowych funduszy celowych na realizację zadań bieżących dla jednostek niezaliczanych do sektora finansów publicznych
221,Dotacja celowa przekazana z budżetu państwa na zadania bieżące z zakresu administracji rządowej oraz inne zadania zlecone ustawami realizowane przez samorząd województwa
222,Dotacja celowa przekazana z budżetu państwa na zadania bieżące realizowane przez samorząd województwa na podstawie porozumień z organami administracji rządowej
223,Dotacja celowa przekazana z budżetu państwa na realizację bieżących zadań własnych samorządu województwa
224,"Dotacja celowa przekazana z budżetu państwa dla państwowej instytucji kultury na dofinansowanie zadań bieżących objętych mecenatem państwa, wykonywanych w ramach programów ministra właściwego do spraw kultury i ochrony dziedzictwa narodowego przez samorządowe instytucje kultury"
225,"Dotacja celowa przekazana z budżetu państwa dla państwowej instytucji kultury na dofinansowanie zadań bieżących objętych mecenatem państwa, wykonywanych w ramach programów ministra właściwego do spraw kultury i ochrony dziedzictwa narodowego przez jednostki niezaliczane do sektora finansów publicznych"
226,Dotacja podmiotowa z budżetu dla jednostek systemu szkolnictwa wyższego i nauki niezaliczanych do sektora finansów publicznych
227,Dotacja podmiotowa z budżetu dla jednostek systemu szkolnictwa wyższego i nauki zaliczanych do sektora finansów publicznych
228,Dotacja z budżetu dla instytucji gospodarki budżetowej na pierwsze wyposażenie w środki obrotowe
231,Dotacja celowa przekazana gminie na zadania bieżące realizowane na podstawie porozumień (umów) między jednostkami samorządu terytorialnego
232,Dotacja celowa przekazana dla powiatu na zadania bieżące realizowane na podstawie porozumień (umów) między jednostkami samorządu terytorialnego
233,Dotacja celowa przekazana do samorządu województwa na zadania bieżące realizowane na podstawie porozumień (umów) między jednostkami samorządu terytorialnego
234,Dotacja celowa dla jednostki spoza sektora finansów publicznych na finansowanie lub dofinansowanie zadań bieżących związanych z pomocą obywatelom Ukrainy
235,Środki z Funduszu P omocy na finansowanie lub dofinansowanie zadań bieżących w zakresie pomocy obywatelom Ukrainy dla jednostki spoza sektora finansów publicznych
236,"Dotacja celowa z budżetu jednostki samorządu terytorialnego, udzielone w trybie art. 221 ustawy, na finansowanie lub dofinansowanie zadań zleconych do realizacji organizacjom prowadzącym działalność pożytku publicznego"
237,Wpłata do budżetu nadwyżki środków obrotowych przez samorządowy zakład budżetowy
240,Wpłata do budżetu pozostałości środków finansowych gromadzonych na wydzielonym rachunku jednostki budżetowej
241,Dotacja z budżetu jednostki samorządu terytorialnego dla samorządowego zakładu budżetowego na pierwsze wyposażenie w środki obrotowe
242,Wpłaty dokonywane przez fundusze celowe do budżetu państwa Paragraf ten ma zastosowanie w szczególności do ujmowania w planie finansowym Funduszu Gwarantowanych Świadczeń Pracowniczych kwot wydatków stanowiących wpłatę do budżetu państwa z tytułu ponoszenia przez budżet państwa wydatków związanych z przejęciem przez ministra właściwego do spraw pracy zadań i pracowników Krajowego Biura Funduszu.
244,Dotacja przekazana z państwowego funduszu celowego na realizację zadań bieżących dla jednostek sektora finansów publicznych
245,Dotacja przekazana z państwowego funduszu celowego na realizację zadań bieżących dla jednostek niezaliczanych do sektora finansów publicznych
246,Wpłaty przekazane przez pozostałe jednostki zaliczane do sektora finansów publicznych na realizację zadań bieżących dla jednostek zaliczanych do sektora finansów publicznych
247,Wpłaty przekazane przez pozostałe jednostki zaliczane do sektora finansów publicznych na realizację zadań bieżących dla jednostek niezaliczanych do sektora finansów publicznych
249,Dotacja podmiotowa z budżetu dla samodzielnego publicznego zakładu opieki zdrowotnej utworzonego przez organ administracji rządowej lub państwową uczelnię
250,"Subwencje z budżetu dla podmiotów systemu szkolnictwa wyższego i nauki, niezaliczanych do sektora finansów publicznych"
252,"Subwencje z budżetu dla podmiotów systemu szkolnictwa wyższego i nauki, zaliczanych do sektora finansów publicznych"
253,Środki na finansowanie lub dofinansowanie zadań bieżących w zakresie pomocy obywatelom Ukrainy
256,Dotacja z budżetu dla samodzielnego publicznego zakładu opieki zdrowotnej utworzonego przez jednostkę samorządu terytorialnego.
258,Dotacja podmiotowa z budżetu dla jednostek niezaliczanych do sektora finansów publicznych
259,Dotacja podmiotowa z budżetu dla publicznej jednostki systemu oświaty prowadzonej przez osobę prawną inną niż jednostka samorządu terytorialnego lub przez osobę fizyczną
261,Środki przekazane przez Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej na finansowanie funkcjonowania systemu handlu uprawnieniami do emisji
263,Dotacja przedmiotowa z budżetu dla jednostek niezaliczanych do sektora finansów publicznych
264,Dotacja celowa przekazana z budżetu jednostki samorządu terytorialnego dla samorządowego zakładu budżetowego na zadania bieżące
266,Środki przekazane przez jednostki samorządu terytorialnego na finansowanie lub dofinansowanie zadań na podstawie odrębnych przepisów
267,Dotacja celowa na finansowanie lub dofinansowanie ustawowo określonych zadań bieżących realizowanych przez jednostki niezaliczane do sektora finansów publicznych
271,Dotacja celowa na pomoc finansową udzielaną między jednostkami samorządu terytorialnego na dofinansowanie własnych zadań bieżących
272,Dotacja celowa z budżetu na finansowanie lub dofinansowanie prac remontowych i konserwatorskich obiektów zabytkowych przekazane jednostkom niezaliczanym do sektora finansów publicznych
273,"Dotacja celowa z budżetu na finansowanie lub dofinansowanie prac remontowych i konserwatorskich obiektów zabytkowych, przekazane jednostkom zaliczanym do sektora finansów publicznych"
278,Dotacja celowa przekazana z budżetu jednostki samorządu terytorialnego na dofinansowanie realizacji zadań w zakresie programów polityki zdrowotnej
279,"Środki na utrzymanie rzecznych przepraw promowych oraz na remonty, utrzymanie, ochronę i zarządzanie drogami krajowymi i wojewódzkimi w granicach miast na prawach powiatu"
280,Dotacja celowa z budżetu dla pozostałych jednostek zaliczanych do sektora finansów publicznych
281,Dotacja celowa z budżetu na finansowanie lub dofinansowanie zadań zleconych do realizacji fundacjom
282,Dotacja celowa z budżetu na finansowanie lub dofinansowanie zadań zleconych do realizacji stowarzyszeniom
283,Dotacja celowa z budżetu na finansowanie lub dofinansowanie zadań zleconych do realizacji pozostałym jednostkom niezaliczanym do sektora finansów publicznych
284,Dotacja celowa z budżetu państwa na finansowanie lub dofinansowanie ustawowo określonych zadań bieżących realizowanych przez pozostałe jednostki sektora finansów publicznych
285,Wpłaty gmin na rzecz izb rolniczych w wysokości 2% uzyskanych wpływów z podatku rolnego
286,Dotacja z budżetu państwa stanowiąca zwrot kosztów obsługi świadczeń zleconych do wypłaty Zakładowi Ubezpieczeń Społecznych i Kasie Rolniczego Ubezpieczenia Społecznego oraz dotacja dla Funduszu Kościelnego
288,Dotacja celowa przekazana jednostce samorządu terytorialnego przez inną jednostkę samorządu terytorialnego będącą instytucją wdrażającą na zadania bieżące realizowane na podstawie porozumień (umów)
289,Środki Funduszu Promocji Kultury przekazane Polskiemu Instytutowi Sztuki Filmowej na realizację zadań bieżących
290,"Wpłaty gmin i powiatów na rzecz innych jednostek samorządu terytorialnego oraz związków gmin, związków powiatowo-gminnych, związków powiatów, związków metropolitalnych na dofinansowanie zadań bieżących"
291,"Zwrot dotacji oraz płatności wykorzystanych niezgodnie z przeznaczeniem lub wykorzystanych z naruszeniem procedur, o których mowa w art. 184 ustawy, pobranych nienależnie lub w nadmiernej wysokości"
299,Wpłata do budżetu nadwyżek środków znajdujących się na rachunkach państwowych funduszy celowych tworzonych z przychodów z prywatyzacji
307,Wydatki osobowe niezaliczone do uposażeń wypłacane żołnierzom i funkcjonariuszom
407,Dodatkowe uposażenie roczne dla żołnierzy zawodowych oraz nagrody roczne dla funkcjonariuszy
408,Uposażenia i świadczenia pieniężne wypłacane przez okres roku żołnierzom i funkcjonariuszom zwolnionym ze służby
414,"Wpłaty na Państwowy Fundusz Rehabilitacji Osób Niepełnosprawnych Paragraf ten obejmuje wpłaty, o których mowa w art. 21 ustawy z dnia 27 sierpnia 1997 r. o rehabilitacji zawodowej i społecznej oraz zatrudnianiu osób niepełnosprawnych (Dz. U. z 2020 r. poz. 426, z późn. zm.)."
416,Pokrycie ujemnego wyniku finansowego jednostek zaliczanych do sektora finansów publicznych
418,Równoważniki pieniężne i ekwiwalenty dla żołnierzy i funkcjonariuszy oraz pozostałe należności
429,Zakup świadczeń zdrowotnych dla osób nieobjętych obowiązkiem ubezpieczenia zdrowotnego
431,Realizacja zleconych programów poręczeniowo-gwarancyjnych Paragraf ten obejmuje wydatki niezaliczane do paragrafu 802 i 803.
433,Zakup usług przez jednostki samorządu terytorialnego od innych jednostek samorządu terytorialnego
434,Zakup usług remontowo-konserwatorskich dotyczących obiektów zabytkowych będących w użytkowaniu jednostek budżetowych
435,"Zakup towarów (w szczególności materiałów, leków, żywności) w związku z pomocą obywatelom Ukrainy"
456,"Odsetki od dotacji oraz płatności: wykorzystanych niezgodnie z przeznaczeniem lub wykorzystanych z naruszeniem procedur, o których mowa w art. 184 ustawy, pobranych nienależnie lub w nadmiernej wysokości"
460,"Kary, odszkodowania i grzywny wypłacane na rzecz osób prawnych i innych jednostek organizacyjnych"
461,Koszty postępowania sądowego i prokuratorskiego Paragraf ten obejmuje w szczególności:
463,Rozliczenie wydatków agencji płatniczych związanych z interwencją rynkową w ramach Wspólnej Polityki Rolnej
464,"Wydatki egzekucyjne poniesione w postępowaniu egzekucyjnym wszczętym i prowadzonym na poczet należności objętych wnioskiem obcego państwa, nieściągnięte od zobowiązanego"
469,"Składki do organizacji międzynarodowych, w których uczestnictwo związane jest z członkostwem w Unii Europejskiej"
470,"Szkolenia pracowników niebędących członkami korpusu służby cywilnej Niezależnie od rodzaju działalności szkoleniowej paragraf ten uwzględnia również wydatki stanowiące wypłatę wynagrodzenia z tytułu umów o dzieło lub umów zlecenia, których przedmiotem są szkolenia pracowników."
474,Wynagrodzenia i uposażenia wypłacane w związku z pomocą obywatelom Ukrainy
475,Wynagrodzenia nauczycieli wypłacane w związku z pomocą obywatelom Ukrainy
483,Równoważniki pieniężne i ekwiwalenty dla żołnierzy i funkcjonariuszy oraz pozostałe należności wypłacane w związku z pomocą obywatelom Ukrainy
484,"Honoraria, wynagrodzenia agencyjno-prowizyjne i wynagrodzenia bezosobowe wypłacane w związku z pomocą obywatelom Ukrainy"
485,Składki i inne pochodne od wynagrodzeń pracowników wypłacanych w związku z pomocą obywatelom Ukrainy
486,Pozostałe wydatki bieżące na zadania związane z pomocą obywatelom Ukrainy
