Nazwa Jednostki,Regon,Dzial,Rozdzial,Grupa,Paragraf,P4,PL,ZA,WW,ZO
Szkoła Podstawowa Nr 7,368246055,801,80101,1300,302,0,10280,9803.89,9803.89,0
Szkoła Podstawowa Nr 7,368246056,801,80101,1400,401,0,674540,673221.42,658989.84,14231.58
Szkoła Podstawowa Nr 7,368246057,801,80101,1400,404,0,48295,48276.23,48276.23,48701.67
Szkoła Podstawowa Nr 7,368246058,801,80101,1400,411,0,475031,471238.45,435647.68,68617.59
Szkoła Podstawowa Nr 7,368246059,801,80101,1400,412,0,49145,47858.82,43456.56,7730.56
Szkoła Podstawowa Nr 7,368246060,801,80101,1400,417,0,12700,10278.2,10154.2,124
Szkoła Podstawowa Nr 7,368246061,801,80101,1100,421,0,59404,59404,59404,0
Szkoła Podstawowa Nr 7,368246062,801,80101,1100,424,0,10490,10489.38,10489.38,0
Szkoła Podstawowa Nr 7,368246063,801,80101,1100,426,0,235000,231926.79,187179.2,44747.59
Szkoła Podstawowa Nr 7,368246064,801,80101,1100,427,0,23000,20667.29,20359.79,307.5
Szkoła Podstawowa Nr 7,368246065,801,80101,1100,428,0,5000,4295,4295,0
Szkoła Podstawowa Nr 7,368246066,801,80101,1100,430,0,51260,50622.57,50622.57,0
Szkoła Podstawowa Nr 7,368246067,801,80101,1100,436,0,2620,1774.62,1774.62,0
Szkoła Podstawowa Nr 7,368246068,801,80101,1100,441,0,2100,99,99,0
Szkoła Podstawowa Nr 7,368246069,801,80101,1100,444,0,184388,184388,184388,0
Szkoła Podstawowa Nr 7,368246070,801,80101,1100,448,0,310,0,0,0
Szkoła Podstawowa Nr 7,368246071,801,80101,1100,470,0,4190,2117,2117,0
Szkoła Podstawowa Nr 7,368246072,801,80101,1400,479,0,1870338,1870043.68,1816704.04,53339.64
Szkoła Podstawowa Nr 7,368246073,801,80101,1400,480,0,125450,125417.31,125417.31,143426.66
Szkoła Podstawowa Nr 7,368246074,801,80101,1600,605,0,50000,49999.99,49999.99,0
Szkoła Podstawowa Nr 7,368246075,801,80101,1600,606,0,90000,90000,90000,0
Szkoła Podstawowa Nr 7,368246076,801,80107,1400,411,0,31835,31119.07,30136.12,3422.25
Szkoła Podstawowa Nr 7,368246077,801,80107,1400,412,0,3120,2581.49,2581.49,213.96
Szkoła Podstawowa Nr 7,368246078,801,80107,1100,444,0,8710,8710,8710,0
Szkoła Podstawowa Nr 7,368246079,801,80107,1400,479,0,158910,156697.6,155207.57,1490.03
Szkoła Podstawowa Nr 7,368246080,801,80107,1400,480,0,12800,12783.97,12783.97,14190.1
Szkoła Podstawowa Nr 7,368246081,801,80146,1100,430,0,4222,2260,2260,0
Szkoła Podstawowa Nr 7,368246082,801,80146,1100,470,0,7038,6990,6990,0
Szkoła Podstawowa Nr 7,368246083,801,80150,1400,411,0,5321,5130.37,5130.37,0
Szkoła Podstawowa Nr 7,368246084,801,80150,1400,412,0,680,680,680,0
Szkoła Podstawowa Nr 7,368246085,801,80150,1400,471,0,99,0,0,0
Szkoła Podstawowa Nr 7,368246086,801,80150,1400,479,0,32335,29845.11,29845.11,0
Szkoła Podstawowa Nr 7,368246087,801,80153,1100,424,0,31454.28,31454.28,31454.28,0
Szkoła Podstawowa Nr 7,368246088,854,85416,1300,324,0,6448,6448,6448,0
Szkoła Podstawowa Nr 9,1070630,801,80101,1300,302,0,17900,17895.92,17895.92,0
Szkoła Podstawowa Nr 9,1070630,801,80101,1400,401,0,915187,846086.6,846086.6,0
Szkoła Podstawowa Nr 9,1070630,801,80101,1400,404,0,60700,60671.87,60671.87,69096.75
Szkoła Podstawowa Nr 9,1070630,801,80101,1400,411,0,961912,920981.23,864745.42,124278.89
Szkoła Podstawowa Nr 9,1070630,801,80101,1400,412,0,140703,90132.15,83281.11,13197.42
Szkoła Podstawowa Nr 9,1070630,801,80101,1400,417,0,7000,0,0,0
Szkoła Podstawowa Nr 9,1070630,801,80101,1100,421,0,120630,120628.84,120628.84,0
Szkoła Podstawowa Nr 9,1070630,801,80101,1100,424,0,52000,15389.06,15389.06,0
Szkoła Podstawowa Nr 9,1070630,801,80101,1100,426,0,414000,294241.2,273772.28,20468.92
Szkoła Podstawowa Nr 9,1070630,801,80101,1100,427,0,32497,32276.34,32276.34,0
Szkoła Podstawowa Nr 9,1070630,801,80101,1100,428,0,4000,2270,2270,0
Szkoła Podstawowa Nr 9,1070630,801,80101,1100,430,0,148150,148121.32,148121.32,0
Szkoła Podstawowa Nr 9,1070630,801,80101,1100,436,0,9200,5310.91,5310.91,0
Szkoła Podstawowa Nr 9,1070630,801,80101,1100,441,0,1100,818.45,818.45,0
Szkoła Podstawowa Nr 9,1070630,801,80101,1100,444,0,357533,357532.35,357532.35,0
Szkoła Podstawowa Nr 9,1070630,801,80101,1100,448,0,1000,143,143,0
Szkoła Podstawowa Nr 9,1070630,801,80101,1100,470,0,4000,3132,3132,0
Szkoła Podstawowa Nr 9,1070630,801,80101,1400,471,0,10047,4117.7,4117.7,324.7
Szkoła Podstawowa Nr 9,1070630,801,80101,1400,479,0,4368718,4174698.33,4075893.23,98805.1
Szkoła Podstawowa Nr 9,1070630,801,80101,1400,480,0,320200,320109.01,320109.01,328815.89
Szkoła Podstawowa Nr 9,1070630,801,80101,1600,605,0,40000,40000,40000,0
Szkoła Podstawowa Nr 9,1070630,801,80101,1600,606,0,222300,222300,222300,0
Szkoła Podstawowa Nr 9,1070630,801,80107,1300,302,0,1000,1000,1000,0
Szkoła Podstawowa Nr 9,1070630,801,80107,1400,411,0,52700,47693.41,43348.91,8395.23
Szkoła Podstawowa Nr 9,1070630,801,80107,1400,412,0,8000,5001.02,4534.11,890.41
Szkoła Podstawowa Nr 9,1070630,801,80107,1100,444,0,17252,17251.11,17251.11,0
Szkoła Podstawowa Nr 9,1070630,801,80107,1400,471,0,1500,0,0,0
Szkoła Podstawowa Nr 9,1070630,801,80107,1400,479,0,286498,279626.18,276276.57,3349.61
Szkoła Podstawowa Nr 9,1070630,801,80107,1400,480,0,19500,19431.58,19431.58,23688.5
Szkoła Podstawowa Nr 9,1070630,801,80146,1100,430,0,10087,6199.2,6199.2,0
Szkoła Podstawowa Nr 9,1070630,801,80146,1100,470,0,16813,16741,16741,0
Szkoła Podstawowa Nr 9,1070630,801,80148,1300,302,0,1100,1057.37,1057.37,0
Szkoła Podstawowa Nr 9,1070630,801,80148,1400,401,0,329460,324336.82,322012.13,2324.69
Szkoła Podstawowa Nr 9,1070630,801,80148,1400,404,0,21500,21456.7,21456.7,25089.81
Szkoła Podstawowa Nr 9,1070630,801,80148,1400,411,0,63100,61557.42,56530.23,9317.56
Szkoła Podstawowa Nr 9,1070630,801,80148,1400,412,0,8300,4882.53,4552.81,660.47
Szkoła Podstawowa Nr 9,1070630,801,80148,1100,422,0,563000,546715.5,546715.5,0
Szkoła Podstawowa Nr 9,1070630,801,80148,1100,428,0,700,210,210,0
Szkoła Podstawowa Nr 9,1070630,801,80148,1100,444,0,12190,12189.57,12189.57,0
Szkoła Podstawowa Nr 9,1070630,801,80148,1400,471,0,1000,0,0,0
Szkoła Podstawowa Nr 9,1070630,801,80150,1400,411,0,96500,96304.68,96304.68,7651.27
Szkoła Podstawowa Nr 9,1070630,801,80150,1400,412,0,14500,13771.26,13771.26,1096.24
Szkoła Podstawowa Nr 9,1070630,801,80150,1100,421,0,8000,7795.63,7795.63,0
Szkoła Podstawowa Nr 9,1070630,801,80150,1100,424,0,4000,3974.44,3974.44,0
Szkoła Podstawowa Nr 9,1070630,801,80150,1400,479,0,529100,527865.97,527865.97,0
Szkoła Podstawowa Nr 9,1070630,801,80150,1400,480,0,34500,34498.06,34498.06,44744.33
Szkoła Podstawowa Nr 9,1070630,801,80150,1600,606,0,10000,10000,10000,0
